Username,Week,Anger,Joy,Surprise,Fear,Disgust,Sadness,Trust,Anticipation
BarackObama,1,0,0,0,0,0,0,1,0
BarackObama,2,0,1,0,0,0,0,1,0
BarackObama,3,0,0,0,0,0,0,0,0
BarackObama,4,0,0,0,0,0,0,0,0
BarackObama,5,0,0,0,0,0,0,0,0
BarackObama,6,0,0,0,0,0,0,0,0
BarackObama,7,0,1,0,0,0,0,1,0
BarackObama,8,0,0,0,0,0,0,0,0
BarackObama,9,0,1,0,0,0,0,1,0
BarackObama,10,0,0,0,0,0,0,1,0
BarackObama,11,0,1,0,0,0,0,0,0
BarackObama,12,0,0,0,0,0,0,0,0
BarackObama,13,0,2,0,0,0,0,1,0
BarackObama,14,0,0,0,0,0,0,0,0
BarackObama,15,1,1,0,0,0,0,0,0
BarackObama,16,0,0,0,0,0,0,1,0
BarackObama,17,0,0,0,0,0,0,1,0
BarackObama,18,1,0,0,0,0,0,0,0
